classification,title,category,ave_rating,num_ratings,reviews_total_5_stars,reviews_total_4_stars,reviews_total_3_stars,reviews_total_2_stars,reviews_total_1_stars,seller_name,seller_rating,ships_on_time,chat_response_rate,price,reviews,sentiment
Legit,Redmi 12 8+128/8+256 Global Version in 1 year warranty,"Mobiles & Tablets,Smartphones",5,1695,1666,17,2,4,6,Xiaomi Official Store Global,0.98,0.94,0.99,7999,Took a while to arrive due to 12.12 sale. The color is correct. I did not like all the unwanted apps already installed.,Positive
Legit,Realme C35 cellphone big sale Original 2023 original Realme phone 5G Smartphone 12GB+256GB Android Phone 6.7Inch Large Screen Realme Mobile Phone HD Gaming phone Realme Smart phone cheap phone gaming phone legit cellphone COD,"Mobiles & Tablets,Smartphones",4.7,55,51,0,0,1,3,Cellphone store discount 70%,0.88,0.99,1,3021.52,"Fast and efficient performance!, Received the phone in good condition and good thing also we received this before Christmas since this is a Christmas gift of my husband to her mom. works fine no issue and complete accessories. it includes sim ejector and clear case",Positive
Legit,OPPO Reno8 T 5G | 120Hz 3D Curved Screen | 108MP Portrait Camera | 67W SUPERVOOC Smartphone,"Mobiles & Tablets,Smartphones",5,32,31,1,0,0,0,OPPO,0.99,0.99,0.93,21999,"Functionality:good
 Quality:good
 Material:good",Positive
Legit,[ NEW ] - TECNO SPARK 20 PRO 16GB (8+8GB) + 256GB | 21GB (12+9GB) + 256GB | 108MP Ultra Sensing Camera | 400% Loud Volume DTS Dual Speakers | 12 + 1 Warranty - LazPay Later,"Mobiles & Tablets,Smartphones",5,594,585,7,0,1,1,TecnoMobileStore,0.99,0.93,1,8599,"Material:nice
 Quality:good
 Functionality:working good

item received in good condition,  the delivery is just on time based on the ETA.  thank you seller, lazada and rider.",Positive
Legit,[ NEW ] - TECNO SPARK 20 PRO 16GB (8+8GB) + 256GB | 21GB (12+9GB) + 256GB | 108MP Ultra Sensing Camera | 400% Loud Volume DTS Dual Speakers | 12 + 1 Warranty - LazPay Later,"Mobiles & Tablets,Smartphones",5,594,585,7,0,1,1,TecnoMobileStore,0.99,0.93,1,8599,"Great for a budget phone but i kinda regretted buying it a little ðŸ¤. Redmi note 12 has better specs but yeah...still i like it so much coz i'm no gamer and i know i don't need snapdragon chipset or something on my phone. It's running smoothly cause of its 8gb ram. Kinda sad tho, it has NO 'long screenshot' ðŸ˜¢ Xiaomi, why'd you have to remove that option ?! even my musty dusty phone have it ðŸ¥¹",Positive
Legit,Apple iPhone 14 Pro Max,"Mobiles & Tablets,Smartphones",5,464,457,5,0,0,2,Beyond the Box,0.99,0.99,0.98,88890,"Functionality:very nice
 Quality:good
 Material:expect good phone will buy again incase will order again. hoping with freebies 
pic and video not related  ",Positive
Legit,Samsung Galaxy S23 Ultra,"Mobiles & Tablets,Smartphones",4.8,388,356,13,8,0,11,Samsung,0.94,0.99,0.96,59710,atigxkhcigxohchoxohxohzgihcitxohxbchos9ucpuxy9c9ydy9dyod0ugupfjl70g69f86d8y ft dh. LegitðŸ’¯ ,Positive
Legit,vivo X80 Smartphone Zeiss Optics 5G Co-Processor 12GB RAM Android12 Cellphone 80W Fast Charging,"Mobiles & Tablets,Smartphones",5,3,3,0,0,0,0,vivo,0.98,0.9,1,45999,store is legit. well packed items and delivered on time. will order again soon. thank you seller and courier.  ,Positive
Legit,Samsung Galaxy S23+ Android Phone,"Mobiles & Tablets,Smartphones",4.9,54,52,1,0,0,1,Samsung,0.94,0.99,0.96,68990,Perfect. Nice packaging.. Thank you sa seller. Sana tumagal. ........................ ,Positive
Legit,Samsung Galaxy Z Flip4 [ 8GB RAM + 256GB ROM] - Android Smartphone,"Mobiles & Tablets,Smartphones",4.4,43,35,2,1,0,5,Samsung,0.94,0.99,0.96,37861.5,"super legit ðŸ‘Œ supersatified ang ganda ng cellphone
quality nman tlaga  ",Positive
Legit,Apple iPhone 15,"Mobiles & Tablets,Smartphones",5,91,90,0,0,0,1,Beyond the Box,0.99,0.99,0.98,68890,"Functionality:very nice
 Quality:good
 Material:expect good phone will buy again incase will order again. hoping with freebies 
pic and video not related  ",Positive
Legit,Apple iPhone 12,"Mobiles & Tablets,Smartphones",4.9,512,494,11,1,0,6,Beyond the Box,0.99,0.99,0.98,33890,"Functionality:quite smooth
 Quality:9/10
 Material:goods

The phone is okay for its price, may lag lang kapag nanonood ng reels. I have also samples of pictures. Maganda ang cam kapag maganda ang lightning pero kapag sa medyo madilim ka nag picture di ganon ka ganda yung quality need mo ng flash pero may times na kahit may flash need mo pa rin ng enough lights para luminaw. For gaming okay naman siya sa ml hindi ma lag hindi rin nagkacrash yung screen. Yung phone malaki siya at medyo mabigat hawakan. I hope tumagal sakin yung phone, this is my 1st time purchasing Redmi products I usually buy V*** becoz of their camera. Overall I enjoy using it as a secondary phone worth it to buy. ",Positive
Legit,Apple iPhone 15 Plus,"Mobiles & Tablets,Smartphones",4.9,46,44,1,0,0,1,Beyond the Box,0.99,0.99,0.98,55390,"I am not really good in giving quality feedback for gadgets but all I can say is that this store and the items are all legit. ðŸ‘Œâœ¨ I trusted the store and all the people who have give their feedback. ðŸ˜Š

Btw, I bought this for my daughter teh feedback I will be giving came from her.

 Functionality:It does function well. She likes the camera too. Though iba ung nabasa ko s mga comment. 
 Quality:The item itself is QUALITY! ðŸ˜ We unboxed it and it is still sealed! 

What is more amazing it already has screen protector though of course we will need to replace it the soonest. And the free casing.. âœ¨

Thank you Seller. ðŸ’ž 'til out next transaction. ðŸ‘Œ ",Positive
Legit,Samsung Galaxy S23 FE,"Mobiles & Tablets,Smartphones",4.7,32,29,0,1,0,2,Samsung,0.94,0.99,0.96,37990,"Quality: legit
 Functionality: superb
ang ganda nung phone, its legit and maayos syang nakapack. it was delivered 4days after i ordered. complete din yung papers including warranty. thanks so much!!
 ",Positive
Legit,narzo 50 5G [6GB+128GB] Android Smartphone,"Mobiles & Tablets,Smartphones",5,3,3,0,0,0,0,realme Mall PH,0.98,0.37,1,12749,"Impressive camera quality!, Elegant polar silver color!, High-resolution display for an immersive viewing experience!, sobrang worth it for the price  ",Positive
Legit,Realme 9 4G (6GB RAM + 128GB ROM) Android Smartphone,"Mobiles & Tablets,Smartphones",0,No,0,0,0,0,0,realme Mall PH,0.98,0.37,1,9999,Functionalityï¼š ,Positive
Legit,narzo 50A [4GB+128GB] Android Smartphone,"Mobiles & Tablets,Smartphones",5,20,20,0,0,0,0,realme Mall PH,0.98,0.37,1,7349,"ang ganda frabe legit store po cia salamat seller
 Material:good
 Quality:good
 Functionality:good ",Positive
Legit,Apple iPhone 11 Late 2020,"Mobiles & Tablets,Smartphones",4.9,845,821,12,4,3,5,Beyond the Box,0.99,0.99,0.98,23790,"the product is great, seems legit and not fake unlike the other store, delivery is very fast it arrived earlier than the expected date of delivery. ",Positive
Legit,"TECNO Spark 20 Pro Smartphone | 8GB+256GB / 12GB+256GB | MTK G99 | 108MP Main Camera | 6.78"" FHD+ 120Hz Display | 5000mAh Battery | 33W Fast Charge | Android 13","Mobiles & Tablets,Smartphones",5,73,73,0,0,0,0,TecnoPh,0.99,0.77,1,8699,"Functionality:very good
 Quality:very good
 Material:nka mura ako compare sa mall thank you lazada ang ganda nya super 
 ",Positive
Legit,Tecno Spark Go 2024 Smartphone | 3GB+64GB / 4GB+64GB / 4GB+128GB | Unisoc T606 | 13MP Dual Rear Camera | 6.6” HD+ Display | 5000mAh Battery,"Mobiles & Tablets,Smartphones",4.9,324,315,5,1,1,2,TecnoPh,0.99,0.77,1,4099,"Functionality:5/5
 Quality:5/5
 Material:5/5

Bought this as a gift for our dear dad and he totally loves it! Perfect for his daily facebook browsing. ðŸ¤ª

Excellent quality. Very accommodating selller. Well-packaged. Item shipped immediately. Will order again. Thank you!
 ",Positive
Legit,Tecno Pova 5 Pro 5G Smartphone | 16GB RAM (8GB Extended) + 256GB ROM | Dimensity 6080 5G | 120Hz 6.78” FHD+ Display | 50MP AI Camera | 5000mAh Mega Battery | 68W Ultra Charge,"Mobiles & Tablets,Smartphones",5,2,2,0,0,0,0,TecnoPh,0.99,0.77,1,10499,"Elegant polar silver color!, High-resolution display for an immersive viewing experience!, ",Positive
Legit,"[NEW] OPPO A18 Smartphone | 4GB + Up to 4GB Extended RAM, 128GB / 64GB ROM | 5000mAh Large Battery | 90Hz Sunlight Display Cellphone","Mobiles & Tablets,Smartphones",5,1864,1845,16,1,1,1,OPPO,0.99,0.99,0.93,5499,"Impressive camera quality!, Long-lasting battery life, perfect for all-day use!, Sleek design, love it!, Vibrant display, perfect for watching movies!, secure and value for the money. will buy again sa sale. ",Positive
